"seasonal","trend","remainder","date"
-4442.10523641906,9595.85298416752,-2760.74774774846,2020-08-09
-2380.77956464368,9611.25718737029,-4438.4776227266,2020-08-10
-2089.47329282349,9626.66139057306,-4704.18809774957,2020-08-11
-655.860523328672,9642.06559377583,-6063.20507044715,2020-08-12
646.954113934039,9657.4697969786,-7191.42391091263,2020-08-13
6500.92426783209,9672.87400018137,-13128.7982680135,2020-08-14
2420.34024541623,9688.27820338413,-9158.61844880036,2020-08-15
-4442.10523641906,9703.6824065869,-2711.57717016784,2020-08-16
-2380.77956464368,9719.08660978967,-4409.30704514599,2020-08-17
-2089.47329282349,9734.49081299244,-4615.01752016896,2020-08-18
-655.860523328672,9749.89501619521,-6155.03449286654,2020-08-19
646.954113934039,9765.29921939798,-7323.25333333202,2020-08-20
6500.92426783209,9780.70342260075,-13080.6276904328,2020-08-21
2420.34024541623,9796.10762580352,-10397.4478712197,2020-08-22
-4442.10523641906,9811.51182900629,-3140.40659258723,2020-08-23
-2380.77956464368,9826.91603220906,-4334.13646756537,2020-08-24
-2089.47329282349,9842.32023541183,-4649.84694258834,2020-08-25
-655.860523328672,9857.7244386146,-5952.86391528593,2020-08-26
646.954113934039,9873.12864181737,-7188.0827557514,2020-08-27
6500.92426783209,9888.53284502014,-12773.4571128522,2020-08-28
2420.34024541623,9903.9370482229,-8671.27729363913,2020-08-29
-4442.10523641906,9919.34125142567,-2925.23601500661,2020-08-30
-2380.77956464368,9934.74545462844,-4313.96588998476,2020-08-31
-2089.47329282349,9950.14965783121,-4347.67636500773,2020-09-01
-655.860523328672,9965.55386103398,-5622.69333770531,2020-09-02
646.954113934039,9980.95806423675,-7200.91217817079,2020-09-03
6500.92426783209,9996.36226743952,-12861.2865352716,2020-09-04
2420.34024541623,10037.1869953984,-9069.52724081465,2020-09-05
-4442.10523641906,10078.0117233573,-2511.90648693826,2020-09-06
-2380.77956464368,10118.8364513162,-4118.05688667254,2020-09-07
-2089.47329282349,10159.6611792751,-4773.18788645164,2020-09-08
-655.860523328672,10200.485907234,-5867.62538390535,2020-09-09
646.954113934039,10241.3106351929,-6883.26474912696,2020-09-10
6500.92426783209,10282.1353631518,-13056.0596309839,2020-09-11
2420.34024541623,10322.9600911107,-10261.300336527,2020-09-12
-4442.10523641906,10363.7848190696,-2340.67958265057,2020-09-13
-2380.77956464368,10404.6095470285,-4050.82998238485,2020-09-14
-2089.47329282349,10445.4342749874,-4278.96098216394,2020-09-15
-655.860523328672,10486.2590029463,-5587.39847961766,2020-09-16
646.954113934039,10527.0837309052,-7396.03784483927,2020-09-17
6500.92426783209,10567.9084588641,-12893.8327266962,2020-09-18
